Listing Name,Price,Room Type,Reviews,Location
Green Room in Beautiful Apt.,102,Private room,3 reviews,Brooklyn
COSY BEDROOM IN HUGE LOFT.,85,Private room,33 reviews,"Downtown Brooklyn, Brooklyn"
Williamsburg spacious Duplex & yard,277,Entire home/apt,42 reviews,"Greenpoint, Brooklyn"
Studio in Brownstone - Brooklyn 3F,133,Entire home/apt,39 reviews,"Clinton Hill, Brooklyn"
Urban Jungle in Bedford Stuyvesant,133,Entire home/apt,42 reviews,"Bedford-Stuyvesant, Brooklyn"
Park Slope Pied a Terre,108,Entire home/apt,158 reviews,"Park Slope, Brooklyn"
Bedroom in Artsy Williamsburg loft,60,Private room,4 reviews,Brooklyn
Private Room in Williamsburg NYC,85,Private room,5 reviews,"Williamsburg, Brooklyn"
Private Room in Big Apt on L train,73,Private room,16 reviews,Brooklyn
Beautiful modern Brooklyn apt,206,Entire home/apt,11 reviews,"Boerum Hill, Brooklyn"
PRIVATE and SUNNY Williamsburg Apt!,168,Entire home/apt,137 reviews,"Williamsburg, Brooklyn"
Brand New Apartment in Brooklyn!!,105,Private room,6 reviews,Brooklyn
